qid,idx_old,question_old,gold_old,pred_old,f1_old,p_old,r_old,time_old,pred_new,f1_new,p_new,r_new,time_new,delta_f1,delta_time,delta_t,category
5a8c7595554299585d9e36b6,2,What government position was held by the woman who portrayed Corliss Archer in the film Kiss and Tell?,Chief of Protocol,Secretary of State,0.33,0.33,0.33,8.7,Shirley Temple,0.0,0.0,0.0,7.92,-0.33,-0.7799999999999994,-0.7799999999999994,实体跑偏/证据跑偏
5a7166395542994082a3e814,11,"What is the name of the fight song of the university whose main campus is in Lawrence, Kansas and whose branch campuses are in the Kansas City metropolitan area?",Kansas Song,Kansas Song,1.0,1.0,1.0,7.9,Kansas Song (We’re From Kansas),0.57,0.4,1.0,7.79,-0.43,-0.1100000000000003,-0.11000000000000032,多余解释/冗余输出（Precision掉）
5ab56e32554299637185c594,14,Are Random House Tower and 888 7th Avenue both used for real estate?,no,no,1.0,1.0,1.0,9.56,yes,0.0,0.0,0.0,8.71,-1.0,-0.8499999999999996,-0.8499999999999996,实体跑偏/证据跑偏
5a75e05c55429976ec32bc5f,16,Brown State Fishing Lake is in a country that has a population of how many inhabitants ?,"9,984","9,984",1.0,1.0,1.0,7.7,United States,0.0,0.0,0.0,7.78,-1.0,0.08,0.08000000000000007,实体跑偏/证据跑偏
5a7cc50e554299452d57ba3e,35,"Which band, Letters to Cleo or Screaming Trees, had more members?",Letters to Cleo,Letters to Cleo,1.0,1.0,1.0,7.94,Screaming Trees,0.0,0.0,0.0,8.05,-1.0,0.1100000000000003,0.11000000000000032,实体跑偏/证据跑偏
5a8ef2a75542995a26add583,37,Seven Brief Lessons on Physics was written by an Italian physicist that has worked in France since what year?,2000,2000,1.0,1.0,1.0,7.73,since 2000,0.67,0.5,1.0,7.92,-0.3299999999999999,0.1899999999999995,0.1899999999999995,多余解释/冗余输出（Precision掉）
5a80721b554299485f5985ef,38,"The Livesey Hal War Memorial commemorates the fallen of which war, that had over 60 million casualties?",World War II,World War II,1.0,1.0,1.0,7.59,World War I and World War II,0.6,0.43,1.0,7.76,-0.4,0.1699999999999999,0.16999999999999993,多余解释/冗余输出（Precision掉）
5ab2d3df554299194fa9352c,44,The battle in which Giuseppe Arimondi lost his life secured what for Ethiopia?,sovereignty,Sovereignty,1.0,1.0,1.0,7.89,secured Ethiopian sovereignty,0.5,0.33,1.0,8.09,-0.5,0.2000000000000001,0.20000000000000018,多余解释/冗余输出（Precision掉）
5a760ab65542994ccc918697,45,Alfred Balk served as the secretary of the Committee on the Employment of Minority Groups in the News Media under which United States Vice President?,Nelson Rockefeller,Nelson Rockefeller,1.0,1.0,1.0,8.03,New York Governor Nelson Rockefeller's Committee on the Employment of Minority Groups in the News Media,0.12,0.07,0.5,7.65,-0.88,-0.379999999999999,-0.379999999999999,多余解释/冗余输出（Precision掉）
5a8e1027554299653c1aa15f,51,Which year and which conference was the 14th season for this conference as part of the NCAA Division that the Colorado Buffaloes played in with a record of 2-6 in conference play?,2009 Big 12 Conference,2009 Big 12,0.86,1.0,0.75,7.96,The 2009 Big 12 Conference football season,0.8,0.67,1.0,7.78,-0.0599999999999999,-0.1799999999999997,-0.17999999999999972,数字/单位格式不一致（值相同）
5ab84bf555429916710eb01f,52,In 1991 Euromarché was bought by a chain that operated how any hypermarkets at the end of 2016?,"1,462",1462,1.0,1.0,1.0,7.7,"with 1,462 hypermarkets",0.5,0.33,1.0,7.95,-0.5,0.25,0.25,数字/单位格式不一致（值相同）
5a77cb335542997042120b3a,76,What American professional Hawaiian surfer born 18 October 1992 won the Rip Curl Pro Portugal?,John John Florence,John John Florence,1.0,1.0,1.0,7.82,"John ""John"" Alexander Florence",0.86,0.75,1.0,8.07,-0.14,0.25,0.25,实体跑偏/证据跑偏
5a8979f4554299669944a52e,77,What is the middle name of the actress who plays Bobbi Bacha in Suburban Madness?,Ann,Ann,1.0,1.0,1.0,7.9,Sela,0.0,0.0,0.0,7.82,-1.0,-0.08,-0.08000000000000007,实体跑偏/证据跑偏
5ae53b545542990ba0bbb23c,93,Where does the hotel and casino located in which Bill Cosby's third album was recorded?,Las Vegas Strip in Paradise,Las Vegas,0.57,1.0,0.4,8.06,"The Flamingo Hotel in Las Vegas, Nevada",0.55,0.5,0.6,7.71,-0.0199999999999999,-0.3500000000000005,-0.35000000000000053,实体跑偏/证据跑偏
5adccd795542990d50227d2c,99,In which city is the ambassador of the Rabat-Salé-Kénitra administrative region to China based?,Beijing,Beijing,1.0,1.0,1.0,7.65,Moroccan Ambassador to China,0.0,0.0,0.0,7.9,-1.0,0.25,0.25,实体跑偏/证据跑偏
5a8b8b3155429949d91db5d7,108,What type of activity does Owner earnings and Warren Buffett have in common?,business,Business,1.0,1.0,1.0,7.9,He stated,0.0,0.0,0.0,8.01,-1.0,0.1099999999999994,0.10999999999999943,实体跑偏/证据跑偏
5ae7eaf65542994a481bbe1d,109,When was the  former Indian cricketer who made his ODI debuts during the 2000 ICC KnockOut Trophy born?,7 October 1978,7 October 1978,1.0,1.0,1.0,8.37,Zaheer Khan (born 7 October 1978),0.67,0.5,1.0,8.05,-0.3299999999999999,-0.3199999999999985,-0.3199999999999985,多余解释/冗余输出（Precision掉）
5a887bc0554299206df2b2b6,116,The Argentine PGA Championship record holder has won how many tournaments worldwide?,230,Over 230,0.67,0.5,1.0,7.99,He won more than 230 tournaments worldwide,0.25,0.14,1.0,7.87,-0.42,-0.1200000000000001,-0.1200000000000001,数字/单位格式不一致（值相同）
5a75f0ea5542994ccc91866c,121,What major truck road is located in Backford Cross?,The A41,A41,1.0,1.0,1.0,7.96,East of the junction the road is single carriageway and crosses the A41 by way of a roundabout at Backford Cross,0.11,0.06,1.0,8.64,-0.89,0.6800000000000006,0.6800000000000006,数字/单位格式不一致（值相同）
5abd01205542992ac4f3819b,126,Mummulgum is a stop on the Bruxner Highway before reaching the town on the banks of which river?,Richmond,Richmond River,0.67,0.5,1.0,8.98,Casino,0.0,0.0,0.0,8.49,-0.67,-0.4900000000000002,-0.4900000000000002,实体跑偏/证据跑偏
5a80071f5542992bc0c4a684,133,Alice David is the voice of Lara Croft in a video game developed by which company ?,Crystal Dynamics,Crystal Dynamics,1.0,1.0,1.0,8.02,"She is the voice of the French dub of Lara Croft in the video game ""Tomb Raider",0.0,0.0,0.0,8.13,-1.0,0.1100000000000012,0.11000000000000121,实体跑偏/证据跑偏
5a87d8215542994775f60800,135,"This American crime film set in South Los Angeles was written and directed by the same director and writer of screenwriter of ""Street Kings"", ""End of Watch"", ""Sabotage"", ""Fury"" and what other film?",Suicide Squad,Suicide Squad,1.0,1.0,1.0,8.35,David Ayer,0.0,0.0,0.0,8.12,-1.0,-0.2300000000000004,-0.23000000000000043,实体跑偏/证据跑偏
5ae4627d5542991a06ce9a4d,141,The author of Sexual Politics attended which British University?,Oxford,Oxford,1.0,1.0,1.0,7.63,Oxford University,0.67,0.5,1.0,8.07,-0.3299999999999999,0.4400000000000004,0.4400000000000004,多余解释/冗余输出（Precision掉）
5ab2a186554299295394677b,147,"When did the English local newspaper, featuring the sculpture and war memorial in the Forbury gardens, change names?",2009,2009,1.0,1.0,1.0,7.74,until 2009,0.67,0.5,1.0,8.25,-0.3299999999999999,0.5099999999999998,0.5099999999999998,多余解释/冗余输出（Precision掉）
5adffe7155429906c02daa9e,154,"The songs from the sountrack to ""When Harry Met Sally"" are performed by a singer that has had how many top 20 US albums?",seven,Seven,1.0,1.0,1.0,7.98,He has had seven top20 US albums,0.25,0.14,1.0,7.81,-0.75,-0.1700000000000008,-0.17000000000000082,多余解释/冗余输出（Precision掉）
5a713a5a5542994082a3e6a9,159,What football club plays in the area between the old tool gates: Brook Bar and Trafford bar?,Manchester United,Manchester United,1.0,1.0,1.0,8.11,Manchester United Football Club,0.67,0.5,1.0,8.07,-0.3299999999999999,-0.0399999999999991,-0.03999999999999915,多余解释/冗余输出（Precision掉）
5ab341f755429969a97a8114,160,"The song ""Chim Chim Cher-ee"" can be heard  in the ""Mary Poppins"" scene of a Disney ride that debuted in what year?",1989,1989,1.0,1.0,1.0,7.8,"May 1, 1989",0.5,0.33,1.0,8.0,-0.5,0.2000000000000001,0.20000000000000018,多余解释/冗余输出（Precision掉）
5a8b987f5542997f31a41d7a,171,"What is the name of the detective novelist parent of the author of '""Q"" Is for Quarry'?",C. W. Grafton,C. W. Grafton,1.0,1.0,1.0,7.92,daughter of detective novelist C. W. Grafton,0.6,0.43,1.0,7.53,-0.4,-0.3899999999999997,-0.3899999999999997,多余解释/冗余输出（Precision掉）
5ae67dba55429908198fa5f0,173,The Memphis Hustle are based in a suburb of a city with a population of what in 2010?,"48,982","48,982",1.0,1.0,1.0,7.9,making Southaven the third largest city in Mississippi,0.0,0.0,0.0,8.03,-1.0,0.129999999999999,0.129999999999999,实体跑偏/证据跑偏
5a7b3f4d5542992d025e67bb,174,"Which songwriting duo composed music for ""La La Land"", and created lyrics for ""A Christmas Story: The Musical""?",Pasek & Paul,Pasek and Paul,0.8,0.67,1.0,8.06,Benj Pasek and Justin Paul,0.57,0.4,1.0,8.04,-0.2300000000000001,-0.0200000000000013,-0.02000000000000135,实体跑偏/证据跑偏
